,42101,42101,42101,42401,42401,42401,42602,42602,42602,44201,44201,44201
,aqi,pred_aqi,fore_aqi,aqi,pred_aqi,fore_aqi,aqi,pred_aqi,fore_aqi,aqi,pred_aqi,fore_aqi
2010-01-01,7.295698924731182,0.0,,8.452380952380954,0.0,,25.112903225806452,0.0,,27.994623655913976,0.0,
2010-02-01,6.114285714285714,2.2987907315436552e-06,,9.397959183673466,3.1686026170318504e-05,,25.303571428571427,7.563928075403779e-05,,33.095238095238095,0.00034748938223589157,
2010-03-01,6.290322580645161,3.00173783394265e-06,,5.66820276497696,6.351081735509719e-05,,27.5,0.00012854279655545272,,44.20828311473473,0.00045344291249615207,
2010-04-01,5.446666666666667,3.850754921036477e-06,,7.153650793650796,7.815744012411888e-05,,25.183333333333334,0.0001826488403189515,,62.28615645194915,0.0006387781021182587,
2010-05-01,4.3419354838709685,4.314298400789468e-06,,5.139016897081413,9.676541785914171e-05,,16.548387096774192,0.00022246269150941108,,46.25897587201677,0.0009239287588686919,
2010-06-01,3.880000000000001,4.478528986722684e-06,,6.115555555555557,0.00010537472465002911,,18.75,0.00023268517236612712,,51.24945017719408,0.0008085248920807983,
2010-07-01,4.348387096774194,4.602205584095281e-06,,7.139784946236559,0.00011612288882225305,,18.387096774193548,0.00025230320153367435,,55.73200236034619,0.0009228993379447328,
2010-08-01,4.748387096774192,4.886939508382063e-06,,7.698924731182796,0.00012866528145771532,,14.403225806451612,0.00026533444211773965,,47.0684500393391,0.0010336149261004385,
2010-09-01,4.828333333333333,5.161963192054329e-06,,8.333333333333334,0.00014091823732043153,,21.983333333333334,0.0002627941159308584,,55.96489837398374,0.0009824965047968489,
2010-10-01,7.10215053763441,5.330997025577034e-06,,5.413978494623656,0.0001530155032957485,,25.56451612903226,0.0002829490064642603,,42.66777723980713,0.0011301905872764355,
2010-11-01,8.916666666666666,6.133085948833842e-06,,8.038888888888886,0.0001514246486264799,,26.35,0.000303851489055631,,30.527777777777775,0.0010109379911444757,
2010-12-01,7.881720430107527,6.4963600479279235e-06,,8.625806451612902,0.0001578898686520597,,24.93548387096774,0.0003101756963204959,,25.20430107526882,0.0007405811685883689,
2011-01-01,9.09677419354839,7.295703372037595,,5.70967741935484,8.452541294791935,,27.016129032258064,25.113147393600013,,30.254838709677422,27.994840506100477,
2011-02-01,6.2142857142857135,6.8111288448397715,,3.6887755102040813,7.320434750307208,,23.25,26.00668731172405,,37.263265306122456,33.89766025157849,
2011-03-01,4.9279569892473125,6.393823714227475,,3.396313364055299,1.7232414344028042,,19.193548387096776,27.108581550046605,,41.78341013824886,45.61462344108704,
2011-04-01,4.209444444444445,5.116068128269077,,3.3103174603174614,4.578048315230749,,16.55,22.68181224339928,,48.33382154882156,60.975734801149045,
2011-05-01,4.733870967741934,3.999440511310159,,3.0184331797235027,2.079139060629437,,15.387096774193548,13.205251166617515,,47.78597528169921,41.317795240027365,
2011-06-01,4.7733333333333325,4.009228702977218,,5.595238095238094,3.924139852576073,,17.45,16.908041266980568,,65.26348484848484,53.409749336491416,
2011-07-01,4.632258064516129,4.584090540547638,,5.0276497695852544,6.11451089562194,,16.451612903225808,16.662134371869083,,54.62631150211796,60.26228770281277,
2011-08-01,4.162903225806451,4.818022472650387,,4.520122887864824,6.2451676755792285,,17.14516129032258,12.746279985140523,,54.434007440421546,45.11542912912123,
2011-09-01,4.666666666666667,4.639635023396949,,3.0460317460317463,6.2304923168315245,,17.8,21.79885010859125,,41.49100467577211,59.69706758874974,
2011-10-01,5.025806451612905,7.064502853975012,,2.548387096774193,1.946222114063219,,17.693548387096776,23.898517170024025,,36.19954747160023,35.86487994830029,
2011-11-01,6.948333333333335,8.135019835262243,,2.8476190476190477,5.424516990233849,,23.083333333333332,23.51623262106043,,32.98507936507937,30.3932555492968,
2011-12-01,7.8838709677419345,6.944055818303591,,3.092165898617512,4.981866416631456,,24.129032258064516,22.687426364515137,,28.01075268817204,25.809666983148695,
2012-01-01,5.832258064516129,8.108769476158653,,4.489247311827957,1.5619914345878616,,21.677419354838708,23.970980982491447,,29.041474654377883,29.795015885152022,
2012-02-01,5.608620689655174,5.017270382524955,,3.413793103448276,3.066754935063168,,23.275862068965516,21.413142458221728,,33.443185550082106,34.98241089788468,
2012-03-01,4.451612903225805,5.192709925293747,,3.1075268817204305,1.4875222233637193,,20.741935483870968,21.457157752700812,,40.57295885118466,42.17313289499681,
2012-04-01,3.853333333333333,4.021322005637906,,3.0288888888888885,3.2433776166855695,,17.133333333333333,18.69252347595885,,46.23852364221929,53.93226472406869,
2012-05-01,3.0258064516129033,3.858772397161218,,1.5376344086021512,2.130948926336579,,16.016129032258064,13.520241060858059,,45.94020962656439,43.66393415294142,
2012-06-01,3.186666666666667,3.3975772768103885,,3.516666666666667,3.7942845266549954,,16.5,16.740357455257165,,56.55460339832434,59.04754604071796,
2012-07-01,3.2521505376344084,3.7008500196453875,,4.03763440860215,4.010031299513613,,15.14516129032258,15.856818863122143,,51.36956592573704,53.58436936361316,
2012-08-01,4.903225806451613,3.580167663980472,,3.0967741935483866,4.206829290387153,,14.14516129032258,14.150059373189153,,43.835298284386646,49.48365188461351,
2012-09-01,5.025,4.516225013721947,,1.2,3.2684800101122615,,17.116666666666667,18.479218536601326,,37.36655020035202,45.12395991444973,
2012-10-01,5.548387096774194,5.768725490988965,,1.2709677419354841,0.7061640766400095,,18.467741935483872,19.934612513445916,,33.89443254376553,35.011583992144814,
