state_name,parameter_code,aic,bic,mse,r2
Alabama,42101,271.4667866122645,284.2885275696037,5.480197503353408,-3.3083590872199347
Alabama,42401,454.1415125541431,466.96325351148226,14.004281775979795,-1.1649023608722038
Alabama,42602,271.4117657493984,280.8708672399515,121.57241341124006,-8.639087821172431
Alabama,44201,608.6942654142183,621.5160063715575,214.01923225873367,-2.2094239516692045
Alaska,42101,490.21999151910035,503.0417324764395,,
Alaska,42401,433.9688989927507,445.68792610201916,80.56457298238534,0.2419638249908106
Alaska,42602,270.300213456022,278.98856154743885,,
Alaska,44201,523.4639721734753,536.2857131308145,114.2646754548736,-1.2528439586712068
Arizona,42101,191.92207054507026,204.74381150240944,5.741969573271234,-0.22808790732179762
Arizona,42401,584.7308973798321,597.5526383371713,59.87537700563377,-1.3289761386620476
Arizona,42602,455.422250091971,468.2439910493102,108.40860051964215,-2.2226944303903493
Arizona,44201,567.48870493147,580.3104458888092,268.6652241267618,-0.8549642180578743
Arkansas,42101,285.69546546130306,298.5172064186422,5.820710434217174,-1.1600105772748837
Arkansas,42401,287.1857882190419,300.00752917638107,2.8269056727851423,-0.6072013848969984
Arkansas,42602,476.21512261520354,489.0368635725427,65.43838726436842,-3.659883790819606
Arkansas,44201,609.1584842903808,621.98022524772,226.83106742972055,-2.1947344881167896
California,42101,219.88392011665894,232.70566107399813,4.224189434445905,-0.02628359146920034
California,42401,57.005704203864994,69.82744516120417,0.6858168901036789,-1.9839146674471673
California,42602,435.6627848095693,448.48452576690846,52.78965851505577,-1.0734854597704189
California,44201,550.3809626842349,563.2027036415741,239.07921320990243,-0.5901037704450516
Colorado,42101,198.21292572893793,211.03466668627712,5.845133724120019,-0.7328395018595968
Colorado,42401,433.51037541575846,446.3321163730976,18.522816870377262,-0.37280524191945963
Colorado,42602,396.3277339555086,409.1494749128478,37.95953732381504,-1.3481337528479496
Colorado,44201,556.9397989148006,569.7615398721398,266.0990118623717,-1.1109070534478365
Connecticut,42101,210.63804126113592,223.4597822184751,4.583574599040957,-2.5789912627729503
Connecticut,42401,296.7532103819962,309.57495133933537,2.6697582309750403,0.36037454511949407
Connecticut,42602,481.2533785467372,494.0751195040764,51.95442051356876,-1.372166932361373
Connecticut,44201,556.5018934812512,569.3236344385904,203.6846832576183,-0.8885805948588368
Delaware,42101,234.06415476059047,246.88589571792966,,
Delaware,42401,313.4181427817691,326.2398837391083,6.223831594857627,-0.24621546626131496
Delaware,42602,567.8999125433741,580.7216535007133,,
Delaware,44201,573.1046828491435,585.9264238064827,268.41664493298623,-0.9400736011426853
District Of Columbia,42101,363.0621897129081,375.88393067024725,18.03154305015052,-1.4456415769191673
District Of Columbia,42401,367.72875919610556,380.5505001534447,10.208703451875246,-0.3653643979209218
District Of Columbia,42602,497.1433147528778,509.965055710217,99.32254167549078,-2.637951773953967
District Of Columbia,44201,613.1876233463196,626.0093643036588,285.76530368843186,-0.3572244344361577
Florida,42101,174.48664508280763,187.30838604014681,2.627265215594863,-3.6639324680965597
Florida,42401,284.0048484568996,296.82658941423875,5.139812214739964,-1.2104290643550573
Florida,42602,457.6157795442636,470.43752050160276,34.77275002673517,-2.2190684799063023
Florida,44201,558.6459474713599,571.4676884286991,181.62231133062957,-3.2938786735406893
Georgia,42101,241.0657080899473,253.88744904728648,3.149937079069397,-0.31805193673313825
Georgia,42401,358.65737313789236,371.4791140952315,11.565577222965873,-1.3193649260128675
Georgia,42602,494.43583729504235,507.2575782523815,30.845857177284625,0.20947285656494707
Georgia,44201,620.1181225851215,632.9398635424607,228.031592909066,-1.8405370986587029
Hawaii,42101,325.5484137777066,338.3701547350458,3.0601608430089033,-0.5849987565516399
Hawaii,42401,755.8009278006996,768.6226687580388,566.0569927642565,-1.1970418724048493
Hawaii,42602,348.04799069521056,360.8697316525497,7.970161942550699,-0.6502462103616697
Hawaii,44201,506.5667135030981,519.3884544604373,75.69564696370546,-1.2847803394858968
Idaho,42101,320.886503335179,333.70824429251815,3.990430063079555,-0.3819473620274343
Idaho,42401,485.8399976579983,498.66173861533747,22.249331905920556,-0.3680393337229715
Idaho,42602,364.75334051427683,376.40700721570846,,
Idaho,44201,530.7405050128832,543.5622459702224,186.24623245103652,-1.3119178031782237
Illinois,42101,219.1020150542738,231.923756011613,5.300835297414145,-1.167268556195062
Illinois,42401,339.50095536322135,352.3226963205605,14.178645443786925,-1.6783788662336758
Illinois,42602,492.69925158274987,505.520992540089,100.91861672114675,-5.665564195041369
Illinois,44201,587.3441696962992,600.1659106536384,180.12339533715524,-0.4649429950618773
Indiana,42101,304.58597794822253,317.4077189055617,9.82375959433962,-2.875683112130839
Indiana,42401,394.65090105342927,407.4726420107684,27.07918407835121,-0.4191859780050733
Indiana,42602,470.02939459514664,482.8511355524858,61.42567143119255,-5.058328426516646
Indiana,44201,596.5354134937213,609.3571544510605,177.5214719170434,-0.4204279549322272
Iowa,42101,126.92913071053331,139.7508716678725,1.6466521615491931,-6.316628347447238
Iowa,42401,425.408119419283,438.2298603766222,5.929407085446577,0.30200348095379104
Iowa,42602,392.1009667995761,404.92270775691526,36.159374593440766,-2.64658369325428
Iowa,44201,579.5675017927821,592.2839757041321,,
Kansas,42101,272.38316192311765,285.2049028804568,,
Kansas,42401,304.21240193549545,317.0341428928346,5.7143213282284355,-0.5820987593581248
Kansas,42602,455.87057894112314,468.6923198984623,27.33890007833036,-0.725030975922005
Kansas,44201,626.540405795816,639.3621467531552,214.9246672807408,-0.7870663743157633
Kentucky,42101,263.7362450246185,276.5579859819577,5.001881251328545,-2.2000572332165405
Kentucky,42401,363.99471471283147,376.8164556701706,20.300205652407836,-0.5439808164806514
Kentucky,42602,425.8493579396916,438.67109889703073,36.101634095769406,-3.7015403972501932
Kentucky,44201,592.5332453446612,605.3549863020004,236.00136595810577,-1.6831990977333753
Louisiana,42101,311.3876111262621,324.20935208360123,3.120255774344658,-0.3037993507695509
Louisiana,42401,488.0883478095218,500.91008876686095,39.679199771921745,-0.22239587641681346
Louisiana,42602,374.54446885627743,387.3662098136166,30.723613093537164,-3.1632401133036323
Louisiana,44201,604.8275877069558,617.649328664295,223.80391172648402,-3.035309256940895
Maine,42101,101.17236059343796,113.99410155077715,1.098518020918964,-1.6165286208115295
Maine,42401,221.86113421432165,234.68287517166084,1.3694483466094594,-0.025808487865360608
Maine,42602,453.91288519977473,466.7346261571139,24.3202196677564,-0.4676650396659021
Maine,44201,457.411934669954,470.23367562729317,132.99361103733196,-3.564885915266098
Maryland,42101,157.08270394623742,169.9044449035766,2.8356962239205044,-1.9393960959405172
Maryland,42401,378.7845896592398,391.606330616579,7.153024562442651,-0.08383745511687946
Maryland,42602,455.8732676146841,468.69500857202326,95.81210858627433,-2.9269475076319424
Maryland,44201,597.2851666989316,610.1069076562708,280.1804655549918,-0.8200750814487416
Massachusetts,42101,175.0078546923139,187.8295956496531,2.2231947675304373,-1.5884818926529536
Massachusetts,42401,266.354229388013,279.17597034535214,5.349999352372196,0.12422967016950359
Massachusetts,42602,437.63990585747854,450.4616468148177,44.457690325851395,-1.441813979288891
Massachusetts,44201,512.2945861209288,525.116327078268,169.32434354322854,-2.3766503702284085
Michigan,42101,232.76580193335306,245.58754289069225,2.9985395508311488,-2.799346155166024
