state_name,parameter_code,aic,bic
Kansas,44201,626.5404070790319,639.3621480363711
Kentucky,42101,263.7362490444987,276.5579900018379
Kentucky,42401,363.9947147128314,376.81645567017057
Kentucky,42602,425.8493587235027,438.67109968084185
Kentucky,44201,592.5332453446612,605.3549863020004
Louisiana,42101,311.387611317118,324.20935227445716
Louisiana,42401,488.0883524598788,500.910093417218
Louisiana,42602,374.54446885627743,387.3662098136166
Louisiana,44201,604.8275877069557,617.6493286642949
Maine,42101,101.17236099530678,113.99410195264596
Maine,42401,221.86113421590693,234.68287517324612
Maine,42602,453.91288519977473,466.7346261571139
Maine,44201,457.4119351779825,470.2336761353217
Maryland,42101,157.0827040628708,169.90444502020998
Maryland,42401,378.7845896592398,391.606330616579
Maryland,42602,455.87332444266247,468.6950654000016
Maryland,44201,597.2851666989318,610.106907656271
Massachusetts,42101,175.0079303566925,187.82967131403169
Massachusetts,42401,266.3542293905411,279.17597034788025
Massachusetts,42602,437.639983290459,450.46172424779814
Massachusetts,44201,512.2945861209289,525.1163270782681
Michigan,42101,232.76580193335306,245.58754289069225
Michigan,42401,446.8563403294871,459.6780812868263
Michigan,42602,453.6484442258,466.47018518313917
Michigan,44201,579.0862362445512,591.9079772018904
Minnesota,42101,214.0259877644915,226.8477287218307
Minnesota,42401,132.14803582071704,144.96977677805623
Minnesota,42602,448.1288581587495,460.95059911608865
Minnesota,44201,521.1971096697876,534.0188506271268
Mississippi,42101,236.02961474235698,248.24287102480855
Mississippi,42401,382.54500953181855,395.3667504891577
Mississippi,42602,437.5739023879562,450.39564334529535
Mississippi,44201,599.4655992519345,612.2349837099372
Missouri,42101,203.5611865648035,216.3829275221427
Missouri,42401,475.0937580342222,487.9154989915614
Missouri,42602,485.8470296822461,498.66877063958526
Missouri,44201,608.1237732101749,620.840247121525
Montana,42101,237.56278706102444,250.38452801836362
Montana,42401,388.8090853383618,401.63082629570096
Montana,42602,256.534489604323,269.3562305616622
Montana,44201,443.9208041312834,456.74254508862253
Nebraska,42101,288.5892063209412,301.41094727828033
Nebraska,42401,463.92142395524314,476.7431649125823
Nebraska,44201,588.1422432593117,600.8587171706617
Nevada,42101,312.9252379416978,325.74697889903695
Nevada,42401,199.27686015888122,211.49011644133282
Nevada,42602,477.8970509880131,490.7187919453523
Nevada,44201,580.6203873818401,593.4421283391794
New Hampshire,42101,225.9449836153974,238.7667245727366
New Hampshire,42401,501.55125355779614,514.3729945151354
New Hampshire,42602,255.36859275282006,268.1903337101592
New Hampshire,44201,470.5320650232062,483.35380598054536
New Jersey,42101,233.3165858930193,246.13832685035848
New Jersey,42401,361.72513016765913,374.5468711249983
New Jersey,42602,470.8423407609299,483.6640817182691
New Jersey,44201,565.6717658710934,578.4935068284326
New Mexico,42101,267.89496978580144,280.7167107431406
New Mexico,42401,214.12275111206458,226.94449206940376
New Mexico,42602,336.6795195645419,349.5012605218811
New Mexico,44201,556.2442700547851,569.0660110121244
New York,42101,163.13606402680648,175.95780498414567
New York,42401,234.69074399906555,247.51248495640473
New York,42602,448.51840524012175,461.3401461974609
New York,44201,509.552384122472,522.3741250798112
North Carolina,42101,209.02198399387814,221.84372495121733
North Carolina,42401,320.8284144235275,333.65015538086664
North Carolina,42602,428.9861502768998,441.807891234239
North Carolina,44201,583.0797915717551,595.9015325290943
North Dakota,42101,14.184462293882754,27.006203251221933
North Dakota,42401,288.908086969201,301.72982792654017
North Dakota,42602,257.06610480831495,269.8878457656541
North Dakota,44201,503.62491507055756,516.4466560278968
Ohio,42101,229.76122822407063,242.58296918140982
Ohio,42401,355.3639126965569,368.18565365389605
Ohio,42602,474.1753808278771,486.9971217852163
Ohio,44201,591.3044833943736,604.1262243517128
Oklahoma,42101,197.39204444448922,210.2137854018284
Oklahoma,42401,394.7389600167876,407.56070097412675
Oklahoma,42602,434.29821146997216,447.1199524273113
Oklahoma,44201,643.2390166648045,656.0607576221437
Oregon,42101,334.48086299012687,347.302603947466
Oregon,42401,217.36274257123983,230.18448352857902
Oregon,42602,446.14357324760675,458.9653142049459
Oregon,44201,562.9962805759276,575.8180215332668
Pennsylvania,42101,185.02579098714932,197.8475319444885
Pennsylvania,42401,370.23128406175255,383.0530250190917
