state_name,parameter_code,test_stat,p_value,n_lags
Kansas,44201,-4.527309721635275,0.00017546437089973092,20.0
Kentucky,42101,-6.397175730167655,2.0372195132122596e-08,17.0
Kentucky,42401,-2.9824165373358524,0.03656942323569069,26.0
Kentucky,42602,-6.360547074393946,2.4806983657159927e-08,27.0
Kentucky,44201,-4.999263886614012,2.226772225440866e-05,23.0
Louisiana,42101,-6.2668337237027245,4.094489056897669e-08,24.0
Louisiana,42401,-4.0395358733497835,0.0012170671458028586,22.0
Louisiana,42602,-7.12778355594347,3.582671644116612e-10,20.0
Louisiana,44201,-6.767349037931801,2.69602783627725e-09,22.0
Maine,42101,-4.226880130928857,0.0005931662376893889,29.0
Maine,42401,-5.050971882542145,1.7576199279671936e-05,27.0
Maine,42602,-5.698983183214723,7.75467463825634e-07,18.0
Maine,44201,-4.5799017596480445,0.0001406476305618697,23.0
Maryland,42101,-4.5074341884544555,0.00019064640758550893,24.0
Maryland,42401,-4.0198737001279925,0.0013099483170120432,28.0
Maryland,42602,-4.5385964001021675,0.0001673628211832132,27.0
Maryland,44201,-4.186573626961791,0.0006942430637024705,29.0
Massachusetts,42101,-5.4946418373470145,2.1369784838321925e-06,24.0
Massachusetts,42401,-3.1755441324276537,0.021444644633273273,27.0
Massachusetts,42602,-4.565947504537186,0.00014918208759850832,26.0
Massachusetts,44201,-4.309400690834081,0.00042785298509072584,26.0
Michigan,42101,-6.151632450454422,7.537752013412847e-08,27.0
Michigan,42401,-4.96762186769588,2.5711627408089337e-05,27.0
Michigan,42602,-5.415894928921013,3.1363231774580395e-06,27.0
Michigan,44201,-4.172736488335209,0.0007325262348954786,29.0
Minnesota,42101,-3.5861054415107887,0.006032285816237092,29.0
Minnesota,42401,-9.161820456078924,2.521074937336099e-15,18.0
Minnesota,42602,-5.491143107454144,2.1739010557187983e-06,27.0
Minnesota,44201,-5.200940884313705,8.753279649663819e-06,18.0
Mississippi,42101,-5.326665214611295,4.820557374276593e-06,26.0
Mississippi,42401,-5.316817214719694,5.053114768866737e-06,25.0
Mississippi,42602,-6.882034880088381,1.4253118419049898e-09,20.0
Mississippi,44201,-5.954269053158457,2.1114026051652822e-07,22.0
Missouri,42101,-9.14350307225465,2.807939222246179e-15,18.0
Missouri,42401,-3.1812354772617377,0.02109686187423437,29.0
Missouri,42602,-4.785503846778768,5.796708530210574e-05,28.0
Missouri,44201,-3.7297658422821303,0.003713426912311111,25.0
Montana,42101,-5.417542917880754,3.111370007615451e-06,22.0
Montana,42401,-5.031412739434135,1.9226132904718364e-05,29.0
Montana,42602,-8.763229627897257,2.639457268065446e-14,15.0
Montana,44201,-5.007067191447242,2.1489402394361237e-05,17.0
Nebraska,42101,-4.563352704562783,0.00015082257025620809,27.0
Nebraska,42401,-6.984572089729104,8.030203596031842e-10,26.0
Nebraska,44201,-4.685117626154631,8.974011314993058e-05,21.0
Nevada,42101,-3.7481842246772676,0.0034842451611607843,29.0
Nevada,42401,-4.408905098637979,0.00028624438906441107,21.0
Nevada,42602,-4.176604989777567,0.0007216281904762582,27.0
Nevada,44201,-3.869481191729777,0.0022712891439259325,21.0
New Hampshire,42101,-3.487881594929403,0.008303829632222544,28.0
New Hampshire,42401,-3.1268169977644975,0.024631219413801905,29.0
New Hampshire,42602,-4.525261788377393,0.0001769738365326349,19.0
New Hampshire,44201,-4.532654585411195,0.00017158236977322139,23.0
New Jersey,42101,-4.965537962196842,2.5955615150115523e-05,26.0
New Jersey,42401,-3.3179836561456573,0.014093494483385196,24.0
New Jersey,42602,-4.996045864956579,2.259655096852731e-05,28.0
New Jersey,44201,-3.892340908428038,0.002091942460107946,26.0
New Mexico,42101,-4.837750757376723,4.60287769293802e-05,15.0
New Mexico,42401,-5.816454508119184,4.2812359739255114e-07,23.0
New Mexico,42602,-3.898208396451524,0.00204807195702619,28.0
New Mexico,44201,-4.166564125438415,0.0007502351408413436,15.0
New York,42101,-4.558757399917511,0.00015377008401026648,26.0
New York,42401,-4.419232099029981,0.000274414015435409,24.0
New York,42602,-4.519434588269747,0.00018133679985087424,28.0
New York,44201,-4.306393577678899,0.00043302311686910645,24.0
North Carolina,42101,-4.933609091030317,2.9984738933144978e-05,21.0
North Carolina,42401,-4.074566554180019,0.0010666448904021568,29.0
North Carolina,42602,-4.28373400688955,0.0004739224151765833,28.0
